Move number,White Moves,Black Moves
8,cxd5,e6
9,dxe6,Bxe6
10,Bc4,c5
11,d5,Bf5
12,e4,Bxe4
13,f3,Bf5
14,Qa4+,Kd8
15,Ne2,Nf6
16,Nd4,Bxb1
17,Rxb1,a6
18,Nf5,b5
19,Rxb5,axb5
20,Qxb5,g6
21,Ne3,Bh6
22,Ke2,Re8
23,Bd2,Rxa2
24,Bxa2,Bxe3
25,Bc3,Nxd5
26,Be1,Nc3+
27,Bxc3,Bf4+
28,Kf2,Be3+
29,Kf1,Re5
30,Bb1,Rd5
31,Bf6+,Kc8
32,Qe8+,Kb7
33,Qxe3,Rd1+
34,Ke2,Rd6
35,Be5,Qd7
36,Qe4+,Kc7
37,Bd3,Kd8
38,Bc4,Rd2+
39,Ke1,Rd1+
40,Kf2,Rxh1
41,Qb7,Qd2+
42,Kg3,Qg5+
43,Kh3,Qh5+
44,Kg3,Rxh2
45,Qd5+,Nd7
46,Bb5,Qg5+
47,Kf2,Rxg2+
48,Kf1,Rc2
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,e5
2,Qf3,Qf6
3,Bc4,c6
4,Ne2,b5
5,Bb3,g5
6,O-O,Bh6
7,d4,exd4
8,Qxf6,Nxf6
9,Nxd4,Nxe4
10,Nf5,Bf8
11,Bxg5,d5
12,Nd4,Rg8
13,Bf4,Nc5
14,Bxb8,Rxb8
15,Nxc6,Rb6
16,Nxa7,Bf5
17,Re1+,Kd7
18,Bxd5,Rg7
19,Nc3,Bxc2
20,Naxb5,Nd3
21,Re2,Nxb2
22,Rxc2,Nd3
23,Na4,Rxb5
24,Nc3,Rb6
25,Rd1,Nf4
26,Bc4+,Kc7
27,a4,Rxg2+
28,Kf1,Rbg6
29,Ke1,Rg1+
30,Kd2,Rd6+
31,Ke3,Bh6
32,Rxd6,Nh3+
33,f4,Bxf4+
34,Kf3,Bxd6
35,Nb5+,Kc6
36,Na7+,Kc7
37,Bxf7+,Kb7
38,Nb5,Rf1+
39,Kg2,Rg1+
40,Kxh3,Ka6
41,Rc6+,Kb7
42,Rxd6,Rf1
43,Bd5+,Kc8
44,a5,Rf3+
45,Bxf3,Kb8
46,Rc6,Kb7
47,Nd6+,Ka7
48,Rb6,h5
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,Nf3,Nf6
2,e3,Nc6
3,Bc4,d5
4,Nd4,dxc4
5,Nc3,Nxd4
6,exd4,Qxd4
7,Qf3,e5
8,b3,cxb3
9,axb3,Bc5
10,Ra4,Bb4
11,Bb2,Bd7
12,g4,Bxa4
13,bxa4,Bc5
14,g5,Ng4
15,h3,Nxf2
16,Qf5,Nxh1
17,Qf1,Ng3
18,Ne2,Qxb2
19,Nxg3,Qb1+
20,Ke2,Qxc2
21,Qf5,O-O
22,Qxc2,Rad8
23,Qxc5,f6
24,Qe7,a6
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,c4,e5
2,b4,Nf6
3,Qb3,Ne4
4,d3,Ng5
5,Nc3,Qf6
6,Nd5,Qf5
7,Nxc7+,Kd8
8,Nxa8,e4
9,g4,Qf4
10,Bxf4,Nc6
11,Bxg5+,f6
12,Bf4,Nd4
13,Qa4,g5
14,Bg3,a6
15,Nc7,b5
16,Qxa6,Nc2+
17,Kd1,Nxa1
18,Qxf6+,Be7
19,Qxa1,Bxb4
20,Qxh8+,Ke7
21,Qe8+,Kf6
22,cxb5,Bc3
23,Nd5+,Kg7
24,Nxc3,Kh6
25,Qxc8,Kg6
26,Qg8+,Kf6
27,Qf8+,Kg6
28,Qd6+,Kf7
29,Nxe4,Kg8
30,Nxg5,Kg7
31,Qe7+,Kh6
32,Qxh7+,Kxg5
33,Qxd7,Kg6
34,f4,Kf6
35,g5+,Kg6
36,Qe6+,Kh5
37,g6,Kh6
38,g7+,Kxg7
39,b6,Kh8
40,b7,Kg7
41,Bh4,Kh7
42,b8=Q,Kg7
43,Qf6+,Kh7
44,Qb7+,Kg8
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,e5
2,Nf3,Nc6
3,Bc4,d6
4,d4,exd4
5,Nxd4,Nxd4
6,Qxd4,Qf6
7,Qd5,Be7
8,g3,Nh6
9,h4,Ng4
10,Bg5,Qxf2+
11,Kd1,Qf3+
12,Kc1,Qxh1+
13,Qd1,Qxe4
14,Bd3,Bxg5+
15,hxg5,Qe3+
16,Nd2,Qxg3
17,Qe1+,Qxe1#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,e5
2,Qe2,Nf6
3,Nf3,Qe7
4,Nxe5,Qxe5
5,f3,d5
6,exd5,Qxe2+
7,Bxe2,Nxd5
8,Bb5+,c6
9,Bc4,b5
10,Bxd5,cxd5
11,Nc3,Bb7
12,Nxb5,Na6
13,O-O,O-O-O
14,Nxa7+,Kb8
15,Nb5,Bc5+
16,Kh1,Rhe8
17,d4,Bd6
18,Nxd6,Rxd6
19,Bf4,Re6
20,Rae1,Bc8
21,Bxd6+,Rxd6
22,Re7,Be6
23,g4,Rd7
24,Re8+,Kc7
25,Rh8,f5
26,g5,Nb4
27,Rxh7,Nxc2
28,Rc1,Bg8
29,Rh4,Kd6
30,Rxc2,Rc7
31,Rxc7,Kxc7
32,Rh8,Be6
33,Rh7,Kc6
34,Rxg7,Kb5
35,Rg6,Bf7
36,Rf6,Bh5
37,Rxf5,Kc4
38,f4,Bf3+
39,Kg1,Be4
40,Rf8,Kxd4
41,f5,Ke5
42,g6,Bxf5
43,g7,Bh7
44,Rh8,d4
45,Rxh7,d3
46,Rh5+,Ke4
47,g8=Q,d2
48,Qd8,Ke3
[,R,e,s,u,l,t, ,"""",1,-,0,"""",]

1,e4,d5
2,Qf3,e6
3,exd5,exd5
4,Qe3+,Be6
5,Bb5+,c6
6,Bd3,f5
7,Qe5,Nd7
8,Qe3,Qf6
9,Nf3,a5
10,O-O,Bc5
11,Qg5,Qf8
12,c4,h6
13,Qg6+,Bf7
14,Qxf5,Kd8
15,cxd5,Ngf6
16,Ne5,Bxd5
17,Ng6,Qe8
18,Nxh8,Qxh8
19,Be2,Kc7
20,d3,Qe8
21,Bf4+,Bd6
22,Bh5,g6
23,Bxg6,Qe2
24,Nd2,Qg4
25,Qxg4,Nxg4
26,Rae1,Bxf4
27,Nb3,Bxb3
28,axb3,a4
29,Bf5,Nge5
30,Bxd7,Nxd7
31,bxa4,Rxa4
32,b3,Ra2
33,Re4,Bd6
34,d4,c5
35,dxc5,Nxc5
36,Rd4,Nxb3
37,Rc4+,Bc5
38,g3,Kb6
39,Rc3,Nd4
40,Rb1+,Nb5
41,Rcb3,Rxf2
42,Rxb5+,Kc6
43,Rxb7,Rb2+
44,Kf1,Rxb1+
[,R,e,s,u,l,t, ,"""",1,/,2,-,1,/,2,"""",]

1,a4,d6
2,b3,Be6
3,c4,c5
4,d3,Nf6
5,e4,Bg4
6,Nc3,Bxd1
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,d4,d5
2,c3,c5
3,a3,e6
4,Nf3,Nc6
5,Be3,cxd4
6,cxd4,Nf6
7,Nc3,a5
8,b4,Be7
9,Rb1,O-O
10,b5,Nb8
11,b6,Bd7
12,a4,Nc6
13,Rg1,Nb4
14,g4,Rc8
15,g5,Rxc3
16,gxf6,Nc2+
17,Kd2,Nxe3
18,fxe3,Bb4
19,Ne5,Ra3+
20,Rxb4,axb4
21,Rg3,Qc8
22,e4,Ra2+
23,Kd3,Ra3+
24,Kd2,Rxg3
25,hxg3,Qc3#
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

1,e4,Nc6
2,c3,Nf6
3,d3,d5
4,e5,Nxe5
5,Qa4+,Nc6
6,f3,e5
7,d4,Bd7
8,Bf4,exd4
9,cxd4,Bb4+
10,Kd1,a6
11,a3,b5
12,Qb3,Nxd4
13,Qxb4,Rc8
14,Qxd4,c5
15,Qe5+,Be6
16,Qe3,d4
17,Qe5,c4
18,Ne2,d3
19,Nec3,a5
20,b4,a4
21,Qxb5+,Bd7
22,Qe5+,Be6
23,Qb5+,Nd7
24,Qxc4,O-O
25,Qb5,Re8
26,Qxd3,Bb3+
27,Kc1,Re1+
28,Kd2,Qe8
29,Be2,Rxe2+
30,Qxe2,Nc5
31,Qxe8+,Rxe8
32,Re1,Rd8+
33,Kc1,Nd3+
34,Kd2,Nxe1+
35,Kxe1,Rd1+
36,Ke2,f5
37,Nd5,Rxd5
38,Nc3,Rd4
39,Ke3,Rd7
40,g4,Re7+
41,Kf2,g6
42,Rd1,Kg7
43,Nd5,Re8
44,Re1,Rd8
45,Be5+,Kh6
46,h4,Rxd5
47,Bf4+,Kg7
48,Re7+,Kg8
49,Re8+,Kf7
50,Re5,Rd2+
51,Ke1,Rd1+
52,Ke2,Ra1
53,Ra5,Bd1+
54,Kf2,Ra2+
55,Kg3,fxg4
56,Ra7+,Kf6
57,Ra6+,Kf5
58,Ra5+,Kf6
59,Ra6+,Kg7
60,Ra7+,Kf6
61,Ra6+,Ke7
62,Ra7+,Ke6
63,Ra6+,Kd5
64,Ra5+,Kc6
65,Rc5+,Kb6
66,Bc7+,Kb7
[,R,e,s,u,l,t, ,"""",0,-,1,"""",]

